Token,Lemma,POS
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
Das,der,DET
Landhaus,Landhaus,NOUN
am,an,ADP
Rhein,Rhein,PROPN
",",--,PUNCT
Band,Band,NOUN
1,1,NUM
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
:,--,PUNCT
Das,der,DET
Landhaus,Landhaus,NOUN
am,an,ADP
Rhein,Rhein,PROPN
",",--,PUNCT
Band,Band,NOUN
1,1,NUM
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Capitel,Capitel,NOUN
.,--,PUNCT
»,--,PUNCT
Nur,nur,ADV
noch,noch,ADV
Augenblicke,Augenblick,NOUN
Geduld,Geduld,NOUN
!,--,PUNCT
dort,dort,ADV
winkt,winken,VERB
ein,ein,DET
Mann,Mann,NOUN
",",--,PUNCT
der,der,PRON
mitfahren,mitfahren,VERB
will,wollen,AUX
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
der,der,DET
Ferge,Ferge,NOUN
.,--,PUNCT
Im,in,ADP
Kahne,Kahne,NOUN
saß,sitzen,VERB
ein,ein,DET
Mann,Mann,NOUN
mit,mit,ADP
Frau,Frau,NOUN
und,und,CCONJ
Tochter,Tochter,NOUN
.,--,PUNCT
Der,der,DET
Mann,Mann,NOUN
war,sein,AUX
von,von,ADP
kleiner,klein,ADJ
Gestalt,Gestalt,NOUN
",",--,PUNCT
mit,mit,ADP
grauen,grau,ADJ
Haaren,Haar,NOUN
und,und,CCONJ
röthlich,röthlich,ADV
funkelnder,funkelnd,ADV
Gesichtsfarbe,Gesichtsfarbe,NOUN
",",--,PUNCT
blaue,blau,ADJ
Augen,Auge,NOUN
schauten,schauen,VERB
gutmüthig,gutmüthig,ADV
aber,aber,ADV
träumerisch,träumerisch,ADV
müde,müde,ADV
drein,drein,ADV
;,--,PUNCT
ein,ein,DET
die,der,DET
Oberlippe,Oberlippe,NOUN
ganz,ganz,ADV
bedeckender,bedeckend,ADV
struppiger,struppig,ADJ
Schnurrbart,Schnurrbart,NOUN
schien,scheinen,VERB
sich,sich,PRON
in,in,ADP
dies,dieser,PRON
harmlose,harmlos,ADJ
Gesicht,Gesicht,NOUN
verirrt,verirren,VERB
zu,zu,PART
haben,haben,AUX
;,--,PUNCT
er,er,PRON
trug,tragen,VERB
ein,ein,DET
graues,grau,ADJ
Sommergewand,Sommergewand,NOUN
von,von,ADP
jenem,jener,DET
neumodischen,neumodischen,VERB
Stoff,Stoff,NOUN
",",--,PUNCT
der,der,PRON
überall,überall,ADV
derart,derart,ADV
weiß,weiß,ADV
besprenkelt,besprenkelt,VERB
ist,sein,AUX
",",--,PUNCT
als,als,SCONJ
hätte,haben,AUX
sich,sich,PRON
der,der,DET
Träger,Träger,NOUN
in,in,ADP
einem,ein,DET
Federbett,Federbett,NOUN
gewälzt,wälzen,VERB
;,--,PUNCT
eine,ein,DET
zierliche,zierlich,ADJ
",",--,PUNCT
mit,mit,ADP
blauen,blau,ADJ
und,und,CCONJ
rothen,roth,ADJ
Perlen,Perle,NOUN
gestickte,gestickt,ADJ
Bügeltasche,Bügeltasche,ADJ
hing,Hing,X
an,an,ADP
einem,ein,DET
Riemen,Riemen,NOUN
über,über,ADP
der,der,DET
rechten,rechter,ADJ
Schulter,Schulter,NOUN
.,--,PUNCT
Die,der,DET
Frau,Frau,NOUN
",",--,PUNCT
groß,groß,ADV
und,und,CCONJ
stattlich,stattlich,ADV
",",--,PUNCT
mit,mit,ADP
unruhigen,unruhig,ADJ
Augen,Auge,NOUN
und,und,CCONJ
scharfen,scharf,ADJ
Zügen,Züg,NOUN
",",--,PUNCT
die,der,PRON
einstmals,einstmals,ADV
wol,wol,ADV
einnehmend,einnehmend,ADV
gewesen,sein,AUX
waren,sein,AUX
",",--,PUNCT
trug,tragen,VERB
ein,ein,DET
Kleid,Kleid,NOUN
von,von,ADP
mattgelber,mattgelber,ADV
Seide,Seide,PROPN
;,--,PUNCT
der,der,DET
weiße,weiß,ADJ
Schleier,Schleier,NOUN
am,an,ADP
grauen,grau,ADJ
Hut,Hut,NOUN
war,sein,AUX
wie,wie,ADP
eine,ein,DET
Binde,Binde,NOUN
am,an,ADP
Turban,Turban,NOUN
um,um,ADP
die,der,DET
Rundung,Rundung,NOUN
gewunden,wunden,ADV
.,--,PUNCT
Sie,sie,PRON
warf,werfen,VERB
den,der,DET
Kopf,Kopf,NOUN
rasch,rasch,ADV
zurück,zurück,ADV
",",--,PUNCT
sah,sehen,VERB
dann,dann,ADV
vor,vor,ADP
sich,sich,PRON
nieder,nieder,ADV
",",--,PUNCT
als,als,SCONJ
wollte,wollen,AUX
sie,sie,PRON
sich,sich,PRON
nicht,nicht,PART
um,um,ADP
den,der,DET
Fremden,fremde,NOUN
kümmern,kümmern,VERB
",",--,PUNCT
und,und,CCONJ
bohrte,bohren,VERB
die,der,DET
Zwinge,Zwing,NOUN
ihres,ihr,DET
großen,groß,ADJ
Sonnenschirms,Sonnenschirm,NOUN
in,in,ADP
das,der,DET
Bord,Bord,NOUN
des,der,DET
Kahns,Kahn,NOUN
.,--,PUNCT
Neben,neben,ADP
dem,der,DET
Manne,Manne,NOUN
saß,sitzen,VERB
eine,ein,DET
schlanke,schlank,ADJ
blonde,blond,ADJ
Mädchengestalt,Mädchengestalt,NOUN
in,in,ADP
blauem,blau,ADJ
Sommergewand,Sommergewand,NOUN
;,--,PUNCT
den,der,DET
kleinen,klein,ADJ
",",--,PUNCT
mit,mit,ADP
einem,ein,DET
Vogelflügel,Vogelflügel,NOUN
verzierten,verziert,ADJ
braunen,braun,ADJ
Hut,Hut,NOUN
hielt,halten,VERB
sie,sie,PRON
am,an,ADP
Gummiband,Gummiband,NOUN
in,in,ADP
der,der,DET
Hand,Hand,NOUN
.,--,PUNCT
Der,der,DET
Kopf,Kopf,NOUN
war,sein,AUX
groß,groß,ADV
und,und,CCONJ
schwer,schwer,ADV
",",--,PUNCT
die,der,DET
mächtige,mächtig,ADJ
Stirn,Stirn,NOUN
durch,durch,ADP
reichüberquellendes,reichüberquellend,ADJ
",",--,PUNCT
in,in,ADP
Flechten,Flechten,NOUN
gelegtes,gelegt,ADJ
Haar,Haar,NOUN
noch,noch,ADV
gewaltiger,gewaltig,ADV
",",--,PUNCT
und,und,CCONJ
zwei,zwei,NUM
dicke,dick,ADJ
Locken,Locke,NOUN
legten,legen,VERB
sich,sich,PRON
rechts,rechts,ADV
und,und,CCONJ
links,links,ADV
auf,auf,ADP
Schulter,Schulter,NOUN
und,und,CCONJ
Brust,Brust,NOUN
.,--,PUNCT
Das,der,DET
Antlitz,Antlitz,NOUN
des,der,DET
Mädchens,Mädchen,NOUN
war,sein,AUX
heiter,heit,ADV
und,und,CCONJ
unbefangen,Unbefang,NOUN
",",--,PUNCT
klar,klar,ADV
wie,wie,ADP
der,der,DET
helle,hell,ADJ
Tag,Tag,NOUN
",",--,PUNCT
der,der,PRON
über,über,ADP
der,der,DET
Landschaft,Landschaft,NOUN
leuchtete,leuchten,VERB
.,--,PUNCT
Jetzt,jetzt,ADV
setzte,setzen,VERB
sie,sie,PRON
den,der,DET
Hut,Hut,NOUN
auf,auf,ADP
",",--,PUNCT
und,und,CCONJ
die,der,DET
Mutter,Mutter,NOUN
rückte,rücken,VERB
ihr,ihr,PRON
denselben,derselbe,PRON
noch,noch,ADV
etwas,etwas,PRON
zurecht,zurecht,ADV
.,--,PUNCT
Dann,dann,ADV
wechselte,wechseln,VERB
sie,sie,PRON
schnell,schnell,ADV
die,der,DET
rauhledernen,rauhledern,ADJ
Stulpenhandschuhe,Stulpenhandschuh,NOUN
mit,mit,ADP
glanzigen,glanzigen,VERB
",",--,PUNCT
die,der,PRON
sie,sie,PRON
aus,aus,ADP
der,der,DET
Tasche,Tasche,NOUN
nahm,nehmen,VERB
",",--,PUNCT
und,und,CCONJ
während,während,SCONJ
sie,sie,PRON
