Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,August,August,PROPN,pnc,1,Gottlieb
1,Gottlieb,Gottlieb,PROPN,pnc,2,Meißner
2,Meißner,Meißner,PROPN,ROOT,2,Meißner
3,Die,der,DET,nk,4,Seelen-Folter
4,Seelen-Folter,Seelen-Folter,NOUN,ROOT,4,Seelen-Folter
5,Geschichten,Geschichte,NOUN,ROOT,5,Geschichten
6,vom,von,ADP,mnr,5,Geschichten
7,Unstern,Unster,NOUN,nk,6,vom
8,und,und,CCONJ,cd,7,Unstern
9,Aberwitz,Aberwitz,NOUN,cj,8,und
10,»,--,PUNCT,punct,16,haben
11,Und,und,CCONJ,ju,16,haben
12,was,was,PRON,sb,16,haben
13,für,für,ADP,mnr,12,was
14,einen,ein,DET,nk,15,Zweck
15,Zweck,Zweck,NOUN,nk,13,für
16,haben,haben,AUX,ROOT,16,haben
17,schließlich,schließlich,ADV,mo,16,haben
18,Bücher,Buch,NOUN,sb,16,haben
19,",",--,PUNCT,punct,18,Bücher
20,in,in,ADP,mo,23,keine
21,denen,der,PRON,nk,20,in
22,überhaupt,überhaupt,ADV,mo,23,keine
23,keine,kein,DET,dep,16,haben
24,Bilder,Bild,NOUN,sb,27,vorkommen
25,und,und,CCONJ,cd,24,Bilder
26,Unterhaltungen,Unterhaltung,NOUN,cj,25,und
27,vorkommen,vorkommen,VERB,ROOT,27,vorkommen
28,.,--,PUNCT,punct,27,vorkommen
29,«,--,PUNCT,ROOT,29,«
30,Lewis,Lewis,PROPN,pnc,31,Caroll
31,Caroll,Caroll,PROPN,ROOT,31,Caroll
32,",",--,PUNCT,punct,31,Caroll
33,Alice,Alice,PROPN,app,31,Caroll
34,im,in,ADP,mnr,33,Alice
35,Wunderland,Wunderland,NOUN,nk,34,im
36,Der,der,DET,nk,37,Mörder
37,Mörder,Mörder,NOUN,ROOT,37,Mörder
38,aus,aus,ADP,mnr,37,Mörder
39,Bruderliebe,Bruderlieb,NOUN,nk,38,aus
40,Katharina,Katharina,PROPN,pnc,41,H.
41,H.,H.,PROPN,sb,42,war
42,war,sein,AUX,ROOT,42,war
43,eine,ein,DET,nk,46,neunzehnjährige
44,achtzehn-,achtzehn,X,cj,45,bis
45,bis,bis,CCONJ,cd,46,neunzehnjährige
46,neunzehnjährige,neunzehnjähriger,NOUN,pd,42,war
47,",",--,PUNCT,punct,46,neunzehnjährige
48,von,von,ADP,sbp,51,uneben
49,Gestalt,Gestalt,NOUN,nk,48,von
50,nicht,nicht,PART,ng,51,uneben
51,uneben,uneben,ADV,cj,46,neunzehnjährige
52,",",--,PUNCT,punct,42,war
53,von,von,ADP,sbp,56,wollüstige
54,Denkungsart,Denkungsart,NOUN,nk,53,von
55,ziemlich,ziemlich,ADV,mo,56,wollüstige
56,wollüstige,wollüstig,ADJ,nk,59,Landdirne
57,",",--,PUNCT,punct,56,wollüstige
58,böhmische,böhmisch,ADJ,cj,56,wollüstige
59,Landdirne,Landdirne,NOUN,ROOT,59,Landdirne
60,.,--,PUNCT,punct,59,Landdirne
61,Da,da,SCONJ,cp,64,einzige
62,sie,sie,PRON,sb,64,einzige
63,das,der,DET,nk,64,einzige
64,einzige,einzig,ADJ,ROOT,64,einzige
65,Kind,Kind,NOUN,pd,75,war
66,ihrer,ihr,DET,nk,67,Eltern
67,Eltern,Eltern,NOUN,ag,65,Kind
68,und,und,CCONJ,cd,67,Eltern
69,zukünftige,zukünftig,ADJ,nk,70,Erbin
70,Erbin,Erbin,NOUN,cj,68,und
71,eines,ein,DET,nk,74,Bauerngutes
72,recht,recht,ADV,mo,73,artigen
73,artigen,artig,ADJ,nk,74,Bauerngutes
74,Bauerngutes,Bauerngut,NOUN,ag,70,Erbin
75,war,sein,AUX,re,77,so
76,",",--,PUNCT,punct,77,so
77,so,so,ADV,ROOT,77,so
78,bewarben,bewarben,VERB,ROOT,78,bewarben
79,sich,sich,PRON,oa,78,bewarben
80,viele,vieler,DET,nk,82,Burschen
81,junge,jung,ADJ,nk,82,Burschen
82,Burschen,Bursch,NOUN,sb,78,bewarben
83,um,um,ADP,mo,78,bewarben
84,ihre,ihr,DET,nk,85,Gunst
85,Gunst,Gunst,NOUN,nk,83,um
86,.,--,PUNCT,punct,78,bewarben
87,Sie,sie,PRON,sb,88,gab
88,gab,geben,VERB,ROOT,88,gab
89,dem,der,DET,nk,90,Sohne
90,Sohne,Sohne,NOUN,da,88,gab
91,ihres,ihr,DET,ag,90,Sohne
92,Nachbarn,Nachbar,NOUN,ROOT,92,Nachbarn
93,",",--,PUNCT,punct,92,Nachbarn
94,Anton,Anton,PROPN,pnc,95,S.
95,S.,S.,PROPN,app,92,Nachbarn
96,",",--,PUNCT,punct,92,Nachbarn
97,sichtlich,sichtlich,ADV,mo,99,Vorzug
98,den,der,DET,nk,99,Vorzug
99,Vorzug,Vorzug,NOUN,par,92,Nachbarn
100,vor,vor,ADP,mnr,99,Vorzug
101,allen,aller,DET,nk,102,andern
102,andern,anderer,NOUN,nk,100,vor
103,.,--,PUNCT,punct,92,Nachbarn
104,Er,er,PRON,sb,105,machte
105,machte,machen,VERB,ROOT,105,machte
106,immer,immer,ADV,mo,105,machte
107,ihren,ihr,DET,nk,108,Tänzer
108,Tänzer,Tänzer,NOUN,ROOT,108,Tänzer
109,in,in,ADP,mnr,108,Tänzer
110,der,der,DET,nk,111,Schenke
111,Schenke,Schenke,NOUN,nk,109,in
112,",",--,PUNCT,punct,108,Tänzer
113,ihren,ihr,DET,nk,114,Begleiter
114,Begleiter,Begleiter,NOUN,cj,108,Tänzer
115,auf,auf,ADP,mnr,114,Begleiter
116,Kirch-,Kirch,X,cj,117,und
117,und,und,CCONJ,cd,118,Spazierwegen
118,Spazierwegen,Spazierwegen,NOUN,nk,115,auf
119,;,--,PUNCT,punct,108,Tänzer
120,auch,auch,ADV,ROOT,120,auch
121,ihr,ihr,DET,nk,122,Kammerfenster
122,Kammerfenster,Kammerfenster,NOUN,oa,123,fand
123,fand,finden,VERB,ROOT,123,fand
124,er,er,PRON,sb,123,fand
125,des,der,DET,nk,126,nachts
126,nachts,nachts,NOUN,mo,123,fand
127,offen,offen,ADV,svp,123,fand
128,.,--,PUNCT,punct,123,fand
129,Doch,doch,CCONJ,ju,132,stimmten
130,ihre,ihr,DET,nk,131,Eltern
131,Eltern,Eltern,NOUN,sb,132,stimmten
132,stimmten,stimmen,VERB,ROOT,132,stimmten
133,nicht,nicht,PART,ng,132,stimmten
134,zu,zu,ADP,svp,132,stimmten
135,dieser,dieser,DET,nk,136,Wahl
136,Wahl,Wahl,NOUN,ROOT,136,Wahl
137,.,--,PUNCT,punct,136,Wahl
138,Sie,sie,PRON,sb,139,untersagten
139,untersagten,untersagen,VERB,ROOT,139,untersagten
140,ihr,ihr,DET,nk,141,streng
141,streng,streng,ADV,oa,139,untersagten
142,und,und,CCONJ,cd,141,streng
143,plötzlich,plötzlich,ADV,cj,142,und
144,allen,aller,DET,nk,145,Umgang
145,Umgang,Umgang,NOUN,cj,142,und
146,mit,mit,ADP,op,145,Umgang
147,ihm,ihm,PRON,nk,146,mit
148,und,und,CCONJ,cd,141,streng
149,zwangen,zwingen,VERB,ROOT,149,zwangen
150,sie,sie,PRON,sb,149,zwangen
151,endlich,endlich,ADV,mo,149,zwangen
152,",",--,PUNCT,punct,149,zwangen
153,einen,ein,DET,nk,154,Schmied
154,Schmied,Schmied,NOUN,oa,162,heiraten
155,aus,aus,ADP,mnr,154,Schmied
156,der,der,DET,nk,159,Stadt
157,nahe,nah,ADV,mo,158,gelegenen
158,gelegenen,gelegen,ADJ,nk,159,Stadt
159,Stadt,Stadt,NOUN,nk,155,aus
160,C.,C.,PROPN,nk,159,Stadt
161,zu,zu,PART,pm,162,heiraten
162,heiraten,heiraten,VERB,oc,149,zwangen
163,.,--,PUNCT,punct,149,zwangen
164,Diese,dieser,DET,nk,165,Heirat
165,Heirat,Heirat,NOUN,sb,166,schlug
166,schlug,schlagen,VERB,ROOT,166,schlug
167,aus,aus,ADP,svp,166,schlug
168,",",--,PUNCT,punct,166,schlug
169,wie,wie,SCONJ,mo,173,ausschlagen
170,gezwungene,gezwungen,ADJ,nk,171,Ehen
171,Ehen,Ehen,NOUN,sb,173,ausschlagen
172,gewöhnlich,gewöhnlich,ADV,mo,173,ausschlagen
173,ausschlagen,ausschlagen,VERB,oc,166,schlug
174,.,--,PUNCT,punct,166,schlug
175,Der,der,DET,nk,176,vor
176,vor,vor,ADP,ROOT,176,vor
177,der,der,DET,nk,178,Hochzeit
178,Hochzeit,Hochzeit,NOUN,da,180,verhaßte
179,schon,schon,ADV,mo,180,verhaßte
180,verhaßte,verhaßt,ADJ,nk,181,Gatte
181,Gatte,Gatte,NOUN,sb,182,ward
182,ward,werden,VERB,ROOT,182,ward
183,ihr,ihr,PRON,da,182,ward
184,nach,nach,ADP,mo,182,ward
185,derselben,derselbe,PRON,nk,184,nach
186,noch,noch,ADV,mo,182,ward
187,verhaßter,verhaßt,ADV,pd,182,ward
188,.,--,PUNCT,punct,182,ward
189,Alltäglich,alltäglich,ADV,mo,190,zankte
190,zankte,zanken,VERB,ROOT,190,zankte
191,sie,sie,PRON,sb,190,zankte
192,sich,sich,PRON,oa,190,zankte
193,mit,mit,ADP,mo,190,zankte
194,ihm,ihm,PRON,nk,193,mit
195,;,--,PUNCT,punct,190,zankte
196,was,was,PRON,sb,198,wußte
197,sie,sie,PRON,sb,198,wußte
198,wußte,wissen,VERB,oc,202,tat
199,und,und,CCONJ,cd,198,wußte
200,konnte,können,AUX,cj,199,und
201,",",--,PUNCT,punct,202,tat
202,tat,tun,VERB,ROOT,202,tat
203,sie,sie,PRON,sb,202,tat
204,ihm,ihm,PRON,da,202,tat
205,zum,zu,ADP,mo,202,tat
206,Possen,Posse,NOUN,ROOT,206,Possen
207,;,--,PUNCT,punct,206,Possen
208,auch,auch,ADV,mo,209,mit
209,mit,mit,ADP,mo,213,setzte
210,ihrem,ihr,DET,nk,212,Liebhaber
211,vorigen,vorig,ADJ,nk,212,Liebhaber
212,Liebhaber,Liebhaber,NOUN,nk,209,mit
213,setzte,setzen,VERB,ROOT,213,setzte
214,sie,sie,PRON,sb,213,setzte
215,unter,unter,ADP,mo,213,setzte
216,der,der,DET,nk,217,Hand
217,Hand,Hand,NOUN,nk,215,unter
218,den,der,DET,oa,213,setzte
219,vertrautesten,vertrautesten,VERB,ROOT,219,vertrautesten
220,",",--,PUNCT,punct,219,vertrautesten
221,jetzt,jetzt,ADV,mo,223,unerlaubten
