Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Achim,Achim,PROPN,ROOT,0,Achim
1,von,von,ADP,pg,0,Achim
2,Arnim,Arnim,PROPN,nk,1,von
3,Novellen,Novelle,NOUN,ROOT,3,Novellen
4,Die,der,DET,nk,5,Verkleidungen
5,Verkleidungen,Verkleidung,NOUN,ROOT,5,Verkleidungen
6,des,der,DET,nk,8,Hofmeisters
7,französischen,französisch,ADJ,nk,8,Hofmeisters
8,Hofmeisters,Hofmeister,NOUN,ag,5,Verkleidungen
9,und,und,CCONJ,cd,8,Hofmeisters
10,seines,sein,DET,nk,12,Zöglings
11,deutschen,deutsch,ADJ,nk,12,Zöglings
12,Zöglings,Zögling,NOUN,cj,9,und
13,Löwen,Löwe,NOUN,ROOT,13,Löwen
14,Heute,heute,ADV,mo,15,war
15,war,sein,AUX,ROOT,15,war
16,mein,mein,DET,nk,17,Geburtstag
17,Geburtstag,Geburtstag,NOUN,sb,15,war
18,",",--,PUNCT,punct,15,war
19,ich,ich,PRON,sb,20,bin
20,bin,sein,AUX,cj,15,war
21,nun,nun,ADV,mo,20,bin
22,19,19,NUM,nk,23,Jahre
23,Jahre,Jahr,NOUN,ams,24,alt
24,alt,alt,ADV,pd,20,bin
25,und,und,CCONJ,cd,20,bin
26,habe,haben,VERB,cj,25,und
27,meine,mein,DET,dep,15,war
28,Rechtsstudien,Rechtsstudie,NOUN,ROOT,28,Rechtsstudien
29,",",--,PUNCT,punct,28,Rechtsstudien
30,mit,mit,ADP,mo,39,werden
31,denen,der,PRON,nk,30,mit
32,andre,Andre,PROPN,sb,39,werden
33,kaum,kaum,ADV,mo,38,fertig
34,in,in,ADP,mo,38,fertig
35,ihrem,ihr,DET,nk,37,Jahr
36,24sten,24st,ADJ,nk,37,Jahr
37,Jahr,Jahr,NOUN,nk,34,in
38,fertig,fertig,ADV,pd,39,werden
39,werden,werden,AUX,rc,28,Rechtsstudien
40,",",--,PUNCT,punct,28,Rechtsstudien
41,fast,fast,ADV,mo,28,Rechtsstudien
42,beendigt,beendigen,VERB,ROOT,42,beendigt
43,.,--,PUNCT,punct,42,beendigt
44,Ich,ich,PRON,sb,45,hoffte
45,hoffte,hoffen,VERB,ROOT,45,hoffte
46,jetzt,jetzt,ADV,mo,45,hoffte
47,von,von,ADP,mo,52,sein
48,aller,aller,DET,nk,49,Aufsicht
49,Aufsicht,Aufsicht,NOUN,nk,47,von
50,frei,frei,ADV,pd,52,sein
51,zu,zu,PART,pm,52,sein
52,sein,sein,AUX,oc,45,hoffte
53,",",--,PUNCT,punct,52,sein
54,als,als,SCONJ,mo,45,hoffte
55,mir,mir,PRON,nk,54,als
