Token,Lemma,POS
Franz,Franz,PROPN
Freiherrn,Freiherrn,PROPN
Gaudys,Gaudys,PROPN
poetische,poetisch,ADJ
und,und,CCONJ
prosaische,prosaisch,ADJ
Werke,Werk,NOUN
Neue,neu,ADJ
Ausgabe,Ausgabe,NOUN
Fünfter,Fünfter,ADJ
Band,Band,NOUN
Venetianische,Venetianisch,ADJ
Novellen,Novelle,NOUN
Der,der,DET
öffentliche,öffentlich,ADJ
Erzähler,Erzähler,NOUN
von,von,ADP
der,der,DET
Riva,Riva,NOUN
degli,degli,PROPN
Schiavoni,Schiavoni,PROPN
Der,der,DET
flüchtige,flüchtig,ADJ
Reisende,reisend,NOUN
",",--,PUNCT
welcher,welcher,PRON
der,der,DET
Königin,Königin,NOUN
der,der,DET
Meere,Meer,NOUN
",",--,PUNCT
Venetia,Venetia,PROPN
",",--,PUNCT
nur,nur,ADV
wenige,weniger,DET
Tage,Tag,NOUN
huldigt,huldigt,VERB
",",--,PUNCT
der,der,PRON
es,es,PRON
verschmäht,verschmähen,VERB
",",--,PUNCT
die,der,DET
Schwelle,Schwelle,NOUN
ihrer,ihr,DET
Marmortempel,Marmortempel,NOUN
zu,zu,PART
überschreiten,überschreiten,VERB
",",--,PUNCT
in,in,ADP
die,der,DET
inneren,innerer,ADJ
",",--,PUNCT
langsam,langsam,ADV
verwitternden,verwitternd,ADJ
Räume,Raum,NOUN
zu,zu,PART
dringen,dringen,VERB
",",--,PUNCT
wird,werden,AUX
",",--,PUNCT
von,von,ADP
der,der,DET
Größe,Größe,NOUN
der,der,DET
herrlichen,herrlich,ADJ
Erscheinung,Erscheinung,NOUN
geblendet,blenden,VERB
",",--,PUNCT
die,der,DET
Runzeln,Runzel,NOUN
und,und,CCONJ
Falten,Falte,NOUN
auf,auf,ADP
der,der,DET
gebleichten,gebleicht,ADJ
Stirn,Stirn,NOUN
der,der,DET
Gebieterin,Gebieterin,NOUN
übersehen,übersehen,VERB
",",--,PUNCT
ihr,ihr,DET
ohnmächtiges,ohnmächtig,ADJ
Hinträumen,Hinträumen,NOUN
für,für,ADP
Wachen,Wachen,NOUN
halten,halten,VERB
.,--,PUNCT
Und,und,CCONJ
in,in,ADP
Wahrheit,Wahrheit,NOUN
",",--,PUNCT
Wochen,Woche,NOUN
können,können,AUX
ihm,ihm,PRON
vergehen,vergehen,VERB
",",--,PUNCT
eh,eh,X
',--,PUNCT
er,er,PRON
seiner,sein,DET
Täuschung,Täuschung,NOUN
inne,inne,ADV
wird,werden,AUX
",",--,PUNCT
eh,eh,X
',--,PUNCT
er,er,PRON
nur,nur,ADV
das,der,DET
Herz,Herz,NOUN
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
allein,allein,ADV
noch,noch,ADV
ein,ein,DET
