Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
Des,der,DET
Lebens,Leben,NOUN
Überfluss,Überfluss,PROPN
In,in,ADP
einem,einer,PRON
der,der,DET
härtesten,hart,ADJ
Winter,Winter,NOUN
war,sein,AUX
gegen,gegen,ADP
Ende,Ende,NOUN
des,der,DET
Februar,Februar,NOUN
ein,ein,DET
sonderbarer,sonderbarer,ADJ
Tumult,Tumult,NOUN
gewesen,sein,AUX
",",--,PUNCT
über,über,ADP
dessen,der,DET
Entstehung,Entstehung,NOUN
",",--,PUNCT
Fortgang,Fortgang,NOUN
und,und,CCONJ
Beruhigung,Beruhigung,NOUN
die,der,DET
seltsamsten,seltsam,ADJ
und,und,CCONJ
widersprechendsten,widersprechendsten,ADJ
Gerüchte,Gerücht,NOUN
in,in,ADP
der,der,DET
Residenz,Residenz,NOUN
umliefen,umliefen,ADV
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
natürlich,natürlich,ADV
",",--,PUNCT
dass,dass,SCONJ
",",--,PUNCT
wenn,wenn,SCONJ
alle,aller,DET
Menschen,Mensch,NOUN
sprechen,sprechen,VERB
und,und,CCONJ
erzählen,erzählen,VERB
wollen,wollen,AUX
",",--,PUNCT
ohne,ohne,SCONJ
den,der,DET
Gegenstand,Gegenstand,NOUN
ihrer,ihr,DET
Darstellung,Darstellung,NOUN
zu,zu,PART
kennen,kennen,VERB
",",--,PUNCT
auch,auch,ADV
das,der,DET
Gewöhnliche,Gewöhnliche,NOUN
die,der,DET
Farbe,Farbe,NOUN
der,der,DET
Fabel,Fabel,NOUN
annimmt,annehmen,VERB
.,--,PUNCT
In,in,ADP
der,der,DET
Vorstadt,Vorstadt,NOUN
",",--,PUNCT
die,der,PRON
ziemlich,ziemlich,ADV
bevölkert,bevölkert,ADV
ist,sein,AUX
hatte,haben,AUX
sich,sich,PRON
in,in,ADP
einer,einer,PRON
der,der,DET
engsten,eng,ADJ
Straßen,Straße,NOUN
das,der,DET
Abenteuer,Abenteuer,NOUN
zugetragen,zugetragen,VERB
.,--,PUNCT
Bald,bald,ADV
hieß,heißen,VERB
es,es,PRON
",",--,PUNCT
ein,ein,DET
Verräter,Verräter,NOUN
und,und,CCONJ
Rebell,Rebell,NOUN
sei,sein,AUX
entdeckt,entdecken,VERB
und,und,CCONJ
von,von,ADP
der,der,DET
Polizei,Polizei,NOUN
aufgehoben,aufheben,VERB
worden,werden,AUX
",",--,PUNCT
bald,bald,ADV
",",--,PUNCT
ein,ein,DET
Gottesleugner,Gottesleugner,NOUN
",",--,PUNCT
der,der,PRON
mit,mit,ADP
andern,anderer,ADJ
Atheisten,Atheist,NOUN
verbrüdert,verbrüdern,VERB
das,der,DET
Christentum,Christentum,NOUN
mit,mit,ADP
seiner,sein,DET
Wurzel,Wurzel,NOUN
ausrotten,ausroten,VERB
wollen,wollen,AUX
",",--,PUNCT
habe,haben,AUX
sich,sich,PRON
nach,nach,ADP
hartnäckigem,hartnäckig,ADJ
Widerstand,Widerstand,NOUN
den,der,DET
Behörden,Behörde,NOUN
ergeben,ergeben,VERB
und,und,CCONJ
sitze,sitzen,VERB
nun,nun,ADV
so,so,ADV
lange,lange,ADV
fest,fest,ADV
",",--,PUNCT
bis,bis,SCONJ
er,er,PRON
in,in,ADP
der,der,DET
Einsamkeit,Einsamkeit,NOUN
bessere,gut,ADJ
Grundsätze,Grundsatz,NOUN
und,und,CCONJ
Überzeugungen,Überzeugung,NOUN
finde,finden,VERB
.,--,PUNCT
Er,er,PRON
habe,haben,AUX
sich,sich,PRON
aber,aber,ADV
vorher,vorher,ADV
noch,noch,ADV
in,in,ADP
seiner,sein,DET
Wohnung,Wohnung,NOUN
mit,mit,ADP
alten,alt,ADJ
Doppelhaken,Doppelhake,NOUN
",",--,PUNCT
ja,ja,ADV
sogar,sogar,ADV
mit,mit,ADP
einer,ein,DET
Kanone,Kanone,NOUN
verteidigt,verteidigen,VERB
",",--,PUNCT
und,und,CCONJ
es,es,PRON
sei,sein,AUX
",",--,PUNCT
bevor,bevor,SCONJ
er,er,PRON
sich,sich,PRON
ergeben,ergeben,VERB
",",--,PUNCT
Blut,Blut,NOUN
geflossen,fließen,VERB
",",--,PUNCT
so,so,ADV
dass,dass,SCONJ
das,der,DET
Konsistorium,Konsistorium,NOUN
wie,wie,ADP
das,der,DET
Kriminalgericht,Kriminalgericht,NOUN
wohl,wohl,ADV
auf,auf,ADP
seine,sein,DET
Hinrichtung,Hinrichtung,NOUN
antragen,antragen,VERB
werde,werden,AUX
.,--,PUNCT
Ein,ein,DET
politischer,politisch,ADJ
Schuhmacher,Schuhmacher,NOUN
wollte,wollen,AUX
wissen,wissen,VERB
",",--,PUNCT
der,der,DET
Verhaftete,Verhaftet,NOUN
sei,sein,AUX
ein,ein,DET
Emissär,Emissär,NOUN
",",--,PUNCT
der,der,PRON
als,als,ADP
