Token,Lemma,POS
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
Das,der,DET
Landhaus,Landhaus,NOUN
am,an,ADP
Rhein,Rhein,PROPN
",",--,PUNCT
Band,Band,NOUN
3,3,NUM
Berthold,Berthold,PROPN
Auerbach,Auerbach,PROPN
:,--,PUNCT
Das,der,DET
Landhaus,Landhaus,NOUN
am,an,ADP
Rhein,Rhein,PROPN
",",--,PUNCT
Band,Band,NOUN
3,3,NUM
Siebentes,Siebent,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Capitel,Capitel,NOUN
.,--,PUNCT
Das,der,DET
Beste,gute,NOUN
",",--,PUNCT
womit,womit,SCONJ
ein,ein,DET
Menschenherz,Menschenherz,NOUN
sich,sich,PRON
erfüllt,erfüllen,VERB
und,und,CCONJ
erquickt,erquickt,VERB
",",--,PUNCT
ist,sein,AUX
Mutterliebe,Mutterlieb,NOUN
.,--,PUNCT
Alle,aller,DET
Liebe,Liebe,NOUN
der,der,DET
Menschen,Mensch,NOUN
muß,müssen,AUX
erworben,erwerben,VERB
",",--,PUNCT
erobert,erobern,VERB
und,und,CCONJ
verdient,verdienen,VERB
",",--,PUNCT
über,über,ADP
Hindernisse,Hindernis,NOUN
hinweg,hinweg,ADV
erkämpft,erkämpfen,VERB
und,und,CCONJ
bewahrt,bewahren,VERB
werden,werden,AUX
;,--,PUNCT
die,der,DET
Mutterliebe,Mutterlieb,NOUN
allein,allein,ADV
hat,haben,AUX
man,man,PRON
immer,immer,ADV
",",--,PUNCT
unerworben,unerworben,VERB
",",--,PUNCT
unverdient,unverdient,ADV
und,und,CCONJ
allzeit,allzeit,ADV
bereit,bereit,ADV
.,--,PUNCT
Warum,warum,ADV
hat,haben,AUX
Roland,Roland,PROPN
solch,solch,DET
eine,ein,DET
Mutterliebe,Mutterlieb,NOUN
nicht,nicht,PART
vollauf,vollauf,ADV
?,--,PUNCT
Erich,erich,PROPN
stand,stehen,VERB
früh,früh,ADV
am,an,ADP
Bette,Bette,NOUN
Rolands,Rolands,PROPN
;,--,PUNCT
es,es,PRON
war,sein,AUX
nie,nie,ADV
nöthig,nöthig,ADV
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
ihn,ihn,PRON
weckte,wecken,VERB
",",--,PUNCT
sobald,sobald,SCONJ
er,er,PRON
ihn,ihn,PRON
mit,mit,ADP
vollem,voll,ADJ
Blicke,Blick,NOUN
betrachtete,betrachten,VERB
",",--,PUNCT
wachte,wachen,ADJ
Roland,Roland,PROPN
auf,auf,ADP
.,--,PUNCT
Jetzt,jetzt,ADV
öffnete,öffnen,VERB
er,er,PRON
die,der,DET
großen,groß,ADJ
Augen,Auge,NOUN
und,und,CCONJ
sein,sein,DET
erstes,erster,ADJ
Wort,Wort,NOUN
war,sein,AUX
:,--,PUNCT
»,--,PUNCT
Deine,dein,DET
Mutter,Mutter,NOUN
ist,sein,AUX
da,da,ADV
!,--,PUNCT
«,--,PUNCT
Der,der,DET
Tag,Tag,NOUN
wurde,werden,AUX
neu,neu,ADV
geweiht,weihen,VERB
",",--,PUNCT
denn,denn,CCONJ
Erich,Erich,PROPN
und,und,CCONJ
Roland,Roland,PROPN
gingen,gehen,VERB
zuerst,zuerst,ADV
",",--,PUNCT
um,um,SCONJ
die,der,DET
Mutter,Mutter,NOUN
zu,zu,PART
begrüßen,begrüßen,VERB
.,--,PUNCT
Ihr,ihr,DET
milder,mild,ADJ
ruhiger,ruhig,ADJ
Geist,Geist,NOUN
hatte,haben,AUX
etwas,etwas,DET
Segnendes,Segnende,NOUN
in,in,ADP
jedem,jeder,DET
Worte,Wort,NOUN
",",--,PUNCT
in,in,ADP
jeder,jeder,DET
Handbewegung,Handbewegung,NOUN
",",--,PUNCT
in,in,ADP
jedem,jeder,DET
Augenstrahl,Augenstrahl,NOUN
und,und,CCONJ
sie,sie,PRON
selbst,selbst,ADV
war,sein,AUX
es,es,PRON
",",--,PUNCT
die,der,PRON
die,der,DET
Ordnung,Ordnung,NOUN
und,und,CCONJ
stetig,stetig,ADV
sich,sich,PRON
fortsetzende,fortsetzend,ADJ
Pflicht,Pflicht,NOUN
anrief,Anrief,VERB
",",--,PUNCT
indem,indem,SCONJ
sie,sie,PRON
den,der,DET
Beiden,Beide,NOUN
sagte,sagen,VERB
",",--,PUNCT
sie,sie,PRON
würde,werden,AUX
es,es,PRON
als,als,ADP
Beweis,Beweis,NOUN
der,der,DET
Liebe,Liebe,NOUN
und,und,CCONJ
Herzensfestigkeit,Herzensfestigkeit,NOUN
betrachten,betrachten,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
ihre,ihr,DET
Arbeit,Arbeit,NOUN
fortsetzten,fortsetzen,VERB
heute,heute,ADV
",",--,PUNCT
wie,wie,ADP
gestern,gestern,ADV
.,--,PUNCT
So,so,ADV
saßen,sitzen,VERB
die,der,DET
Beiden,Beide,NOUN
bald,bald,ADV
wieder,wieder,ADV
bei,bei,ADP
ihrer,ihr,DET
Arbeit,Arbeit,NOUN
.,--,PUNCT
Wie,wie,ADP
eines,ein,DET
neuen,neu,ADJ
Geschenkes,Geschenk,NOUN
wurde,werden,AUX
man,man,PRON
sich,sich,PRON
am,an,ADP
Mittage,Mittage,NOUN
bewußt,bewußt,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Mutter,Mutter,NOUN
da,da,ADV
war,sein,AUX
.,--,PUNCT
Man,man,PRON
fand,finden,VERB
sich,sich,PRON
im,in,ADP
Garten,Garten,NOUN
zusammen,zusammen,ADV
;,--,PUNCT
Frau,Frau,NOUN
Ceres,Ceres,PROPN
war,sein,AUX
nicht,nicht,PART
sichtbar,sichtbar,ADV
",",--,PUNCT
sie,sie,PRON
ließ,lassen,VERB
sich,sich,PRON
durch,durch,ADP
Fräulein,Fräulein,NOUN
Perini,Perini,PROPN
entschuldigen,entschuldigen,VERB
.,--,PUNCT
Sonnenkamp,Sonnenkamp,PROPN
lächelte,lächelen,VERB
",",--,PUNCT
denn,denn,CCONJ
er,er,PRON
wußte,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
Frau,Frau,NOUN
Ceres,Ceres,PROPN
nicht,nicht,PART
daran,daran,ADV
dachte,denken,VERB
",",--,PUNCT
sich,sich,PRON
entschuldigen,entschuldigen,VERB
zu,zu,PART
lassen,lassen,VERB
.,--,PUNCT
Fräulein,Fräulein,NOUN
Perini,Perini,PROPN
that,that,VERB
dies,dieser,PRON
aus,aus,ADP
eigener,eigen,ADJ
Machtvollkommenheit,Machtvollkommenheit,NOUN
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
that,that,VERB
wohl,wohl,ADV
daran,daran,ADV
",",--,PUNCT
denn,denn,CCONJ
das,der,DET
störrige,störrig,ADJ
Wesen,Wesen,NOUN
der,der,DET
Frau,Frau,NOUN
Ceres,Ceres,PROPN
wehrte,wehren,VERB
sich,sich,PRON
gegen,gegen,ADP
die,der,DET
ihr,ihr,PRON
aufgedrungene,aufgedrungen,ADJ
Gesellschaft,Gesellschaft,NOUN
.,--,PUNCT
Fräulein,Fräulein,NOUN
Perini,Perini,PROPN
bemühte,bemühen,VERB
sich,sich,PRON
offenbar,offenbar,ADV
mit,mit,ADP
großer,groß,ADJ
Beflissenheit,Beflissenheit,NOUN
",",--,PUNCT
der,der,DET
Frau,Frau,NOUN
Professorin,Professorin,PROPN
sich,sich,PRON
so,so,ADV
angenehm,angenehm,ADV
als,als,ADP
möglich,möglich,ADV
zu,zu,PART
machen,machen,VERB
.,--,PUNCT
Die,der,DET
ehrende,ehrend,ADJ
Auszeichnung,Auszeichnung,NOUN
",",--,PUNCT
die,der,PRON
die,der,DET
Cabinetsräthin,Cabinetsräthin,NOUN
der,der,DET
Professorin,Professorin,NOUN
widmete,widmen,VERB
",",--,PUNCT
gab,geben,VERB
dieser,dieser,PRON
eine,ein,DET
