Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
Die,der,DET
Gemälde,Gemälde,NOUN
Einleitung,Einleitung,NOUN
des,der,DET
Herausgebers,Herausgeber,NOUN
.,--,PUNCT
Das,der,DET
erste,erster,ADJ
zu,zu,ADP
Ende,Ende,NOUN
geführte,geführt,ADJ
Erzeugnis,Erzeugnis,NOUN
Tiecks,Tieck,PROPN
",",--,PUNCT
das,der,PRON
er,er,PRON
selbst,selbst,ADV
als,als,ADP
Novelle,Novelle,NOUN
bezeichnete,bezeichnen,VERB
und,und,CCONJ
das,der,PRON
von,von,ADP
Urteilsfähigen,Urteilsfähig,NOUN
sofort,sofort,ADV
als,als,ADP
ein,ein,DET
glänzendes,glänzend,ADJ
Muster,Muster,NOUN
dieser,dieser,DET
Dichtungsart,dichtungsart,NOUN
erkannt,erkennen,VERB
wurde,werden,AUX
",",--,PUNCT
»,--,PUNCT
Die,der,DET
Gemälde,Gemälde,NOUN
«,--,PUNCT
",",--,PUNCT
ist,sein,AUX
1821,1821,NUM
geschrieben,schreiben,VERB
und,und,CCONJ
bereits,bereits,ADV
im,in,ADP
Oktober,Oktober,NOUN
desselben,derselbe,DET
Jahres,Jahr,NOUN
in,in,ADP
Amadeus,Amadeus,PROPN
Wendts,Wendt,PROPN
(,--,PUNCT
früher,früh,ADV
Beckers,Becker,PROPN
),--,PUNCT
»,--,PUNCT
Taschenbuch,Taschenbuch,NOUN
zum,zu,ADP
geselligen,gesellig,ADJ
Vergnügen,Vergnüg,NOUN
auf,auf,ADP
das,der,DET
Jahr,Jahr,NOUN
1822,1822,NUM
«,--,PUNCT
Leipzig,Leipzig,PROPN
",",--,PUNCT
bei,bei,ADP
Gleditsch,Gleditsch,NOUN
.,--,PUNCT
veröffentlicht,veröffentlichen,VERB
worden,werden,AUX
.,--,PUNCT
Der,der,DET
erste,erster,ADJ
Einzeldruck,Einzeldruck,NOUN
erschien,erscheinen,VERB
1823.,1823.,PUNCT
Auch,auch,ADV
unter,unter,ADP
dem,der,DET
Titel,Titel,NOUN
:,--,PUNCT
»,--,PUNCT
Novellen,Novelle,NOUN
von,von,ADP
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
«,--,PUNCT
",",--,PUNCT
1.,1.,ADJ
Bd.,Bd.,NOUN
",",--,PUNCT
Dresden,Dresden,PROPN
",",--,PUNCT
Arnoldische,arnoldisch,ADJ
Buchhandlung,Buchhandlung,NOUN
.,--,PUNCT
Neudrucke,Neudrucke,NOUN
",",--,PUNCT
vom,von,ADP
Verfasser,Verfasser,NOUN
selbst,selbst,ADV
besorgt,besorgen,ADV
",",--,PUNCT
findet,finden,VERB
man,man,PRON
im,in,ADP
17.,17.,ADJ
Bande,Bande,NOUN
der,der,DET
»,--,PUNCT
Schriften,Schrift,NOUN
«,--,PUNCT
(,--,PUNCT
1844,1844,NUM
),--,PUNCT
und,und,CCONJ
im,in,ADP
ersten,erster,VERB
der,der,DET
»,--,PUNCT
Gesammelten,Gesammelt,ADJ
Novellen,Novellen,NOUN
«,--,PUNCT
(,--,PUNCT
1852,1852,NUM
),--,PUNCT
.,--,PUNCT
Eine,ein,DET
Übersetzung,Übersetzung,NOUN
ins,in,ADP
Englische,Englische,NOUN
erschien,erscheinen,VERB
(,--,PUNCT
mit,mit,ADP
der,der,DET
»,--,PUNCT
Verlobung,Verlobung,NOUN
«,--,PUNCT
),--,PUNCT
London,London,PROPN
1825.,1825.,PROPN
Nicht,nicht,PART
ohne,ohne,ADP
Grund,Grund,NOUN
wiesen,weisen,VERB
die,der,DET
Vertreter,Vertreter,NOUN
der,der,DET
neuen,neu,ADJ
Kunstrichtung,Kunstrichtung,NOUN
",",--,PUNCT
die,der,PRON
Goethe,Goethe,PROPN
so,so,ADV
schweren,schwer,ADJ
Verdruß,Verdruß,NOUN
bereitete,bereiten,VERB
",",--,PUNCT
die,der,DET
sogenannten,sogenannter,ADJ
Altdeutschen,Altdeutschen,NOUN
und,und,CCONJ
Nazarener,Nazarener,NOUN
  ,  ,SPACE
1817,1817,NUM
war,sein,AUX
in,in,ADP
Goethes,Goethe,PROPN
»,--,PUNCT
Kunst,Kunst,NOUN
und,und,CCONJ
Altertum,Altertum,NOUN
«,--,PUNCT
das,der,DET
berühmte,berühmt,ADJ
Pamphlet,Pamphlet,NOUN
gegen,gegen,ADP
die,der,DET
neudeutsche,neudeutsch,NOUN
religiös-patriotische,religiös-patriotisch,ADJ
Kunst,Kunst,NOUN
erschienen,erscheinen,VERB
A.,Angeles,NOUN
a.,a.,ADP
O.,O.,PROPN
",",--,PUNCT
1.,1.,ADJ
Bd.,Bd.,NOUN
2.,2.,ADJ
Heft,Heft,NOUN
.,--,PUNCT
Der,der,DET
Aufsatz,Aufsatz,NOUN
»,--,PUNCT
Neu-deutsche,neu-deutsch,ADJ
religiös-patriotische,religiös-patriotisch,ADJ
