Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,E.,E.,PROPN,pnc,3,Hoffmann
1,T.,T.,PROPN,pnc,3,Hoffmann
2,A.,A.,PROPN,pnc,3,Hoffmann
3,Hoffmann,Hoffmann,PROPN,ROOT,3,Hoffmann
4,Die,der,DET,nk,5,Brautwahl
5,Brautwahl,Brautwahl,NOUN,ROOT,5,Brautwahl
6,Eine,ein,DET,nk,7,Geschichte
7,Geschichte,Geschichte,NOUN,ROOT,7,Geschichte
8,",",--,PUNCT,punct,7,Geschichte
9,in,in,ADP,mo,15,vorkommen
10,der,der,PRON,nk,9,in
11,mehrere,mehrere,DET,nk,14,Abenteuer
12,ganz,ganz,ADV,mo,13,unwahrscheinliche
13,unwahrscheinliche,unwahrscheinlich,ADJ,nk,14,Abenteuer
14,Abenteuer,Abenteuer,NOUN,sb,15,vorkommen
15,vorkommen,vorkommen,VERB,rc,7,Geschichte
16,.,--,PUNCT,punct,7,Geschichte
17,━,━,DET,nk,18,━
18,━,━,PROPN,nk,95,━
19,━,━,PROPN,cj,18,━
20,━,━,DET,app,18,━
21,━,━,DET,app,18,━
22,━,━,DET,app,18,━
23,━,━,DET,app,18,━
24,━,━,DET,app,18,━
25,━,━,DET,app,18,━
26,━,━,DET,app,18,━
27,━,━,DET,app,18,━
28,━,━,DET,app,18,━
29,━,━,DET,app,18,━
30,━,━,DET,app,18,━
31,━,━,DET,app,18,━
32,━,━,DET,app,18,━
33,━,━,DET,app,18,━
34,━,━,DET,app,18,━
35,━,━,DET,app,18,━
36,━,━,DET,app,18,━
37,━,━,DET,app,18,━
38,━,━,DET,app,18,━
39,━,━,DET,app,18,━
40,━,━,DET,app,18,━
41,━,━,DET,app,18,━
42,━,━,DET,app,18,━
43,━,━,DET,app,18,━
44,━,━,DET,app,18,━
45,━,━,DET,app,18,━
46,━,━,DET,app,18,━
47,━,━,DET,app,18,━
48,━,━,DET,app,18,━
49,━,━,DET,app,18,━
50,━,━,DET,app,18,━
51,━,━,DET,app,18,━
52,━,━,DET,app,18,━
53,━,━,DET,app,18,━
54,━,━,DET,app,18,━
55,━,━,DET,app,18,━
56,━,━,DET,app,18,━
57,━,━,DET,app,18,━
58,━,━,DET,app,18,━
59,━,━,DET,app,18,━
60,━,━,DET,app,18,━
61,━,━,DET,app,18,━
62,━,━,DET,app,18,━
63,━,━,DET,app,18,━
64,━,━,DET,app,18,━
65,━,━,DET,app,18,━
66,━,━,DET,app,18,━
67,━,━,DET,app,18,━
68,━,━,DET,app,18,━
69,━,━,DET,app,18,━
70,━,━,DET,app,18,━
71,━,━,DET,app,18,━
72,━,━,DET,app,18,━
73,━,━,DET,app,18,━
74,━,━,DET,app,18,━
75,━,━,DET,app,18,━
76,━,━,DET,app,18,━
77,━,━,DET,app,18,━
78,━,━,DET,app,18,━
79,━,━,DET,app,18,━
80,━,━,DET,app,18,━
81,━,━,DET,app,18,━
82,━,━,DET,app,18,━
83,━,━,DET,app,18,━
84,━,━,DET,app,18,━
85,━,━,DET,app,18,━
86,━,━,DET,app,18,━
87,━,━,DET,app,18,━
88,━,━,DET,app,18,━
89,━,━,DET,app,18,━
90,━,━,DET,app,18,━
91,━,━,DET,app,18,━
92,━,━,PROPN,app,18,━
93,━,━,PROPN,app,18,━
94,━,━,PROPN,app,18,━
95,━,━,PROPN,ROOT,95,━
96,Erstes,erster,ADJ,nk,97,Kapitel
97,Kapitel,Kapitel,NOUN,ROOT,97,Kapitel
98,Welches,welcher,PRON,nk,105,Kanzleisekretären
99,von,von,ADP,sbp,105,Kanzleisekretären
100,Bräuten,bräute,NOUN,nk,99,von
101,",",--,PUNCT,punct,100,Bräuten
102,Hochzeiten,Hochzeiten,NOUN,cj,100,Bräuten
103,",",--,PUNCT,punct,100,Bräuten
104,Geheimen,Geheim,NOUN,cj,102,Hochzeiten
105,Kanzleisekretären,Kanzleisekretär,NOUN,ROOT,105,Kanzleisekretären
106,",",--,PUNCT,punct,105,Kanzleisekretären
107,Turnieren,Turnier,NOUN,cj,105,Kanzleisekretären
108,",",--,PUNCT,punct,105,Kanzleisekretären
109,Hexenprozessen,Hexenprozesse,NOUN,sb,116,handelt
110,",",--,PUNCT,punct,109,Hexenprozessen
111,Zauberteufeln,Zauberteufel,NOUN,cj,109,Hexenprozessen
112,und,und,CCONJ,cd,111,Zauberteufeln
113,andern,anderer,ADJ,nk,115,Dingen
114,angenehmen,angenehm,ADJ,nk,115,Dingen
115,Dingen,Ding,NOUN,cj,112,und
116,handelt,handeln,VERB,ROOT,116,handelt
117,.,--,PUNCT,punct,116,handelt
118,In,in,ADP,mo,123,kehrte
119,der,der,DET,nk,120,Nacht
120,Nacht,Nacht,NOUN,nk,118,In
121,des,der,DET,nk,122,Herbst-Äquinoktiums
122,Herbst-Äquinoktiums,Herbst-Äquinoktium,NOUN,ag,120,Nacht
123,kehrte,kehren,VERB,ROOT,123,kehrte
124,der,der,DET,nk,125,Geheime
125,Geheime,Geheim,NOUN,nk,126,Kanzleisekretär
126,Kanzleisekretär,Kanzleisekretär,NOUN,sb,123,kehrte
127,Tusmann,Tusmann,PROPN,nk,126,Kanzleisekretär
128,aus,aus,ADP,ROOT,128,aus
129,dem,der,DET,nk,130,Kaffeehause
130,Kaffeehause,Kaffeehause,NOUN,nk,128,aus
131,",",--,PUNCT,punct,130,Kaffeehause
132,wo,wo,SCONJ,mo,140,zuzubringen
133,er,er,PRON,sb,140,zuzubringen
134,regelmäßig,regelmäßig,ADV,mo,140,zuzubringen
135,jeden,jeder,DET,nk,136,Abend
136,Abend,Abend,NOUN,oa,140,zuzubringen
137,ein,ein,DET,nk,138,paar
138,paar,paar,DET,nk,139,Stunden
139,Stunden,Stunde,NOUN,mo,140,zuzubringen
140,zuzubringen,zuzubringen,ADV,mo,128,aus
141,pflegte,pflegen,VERB,ROOT,141,pflegte
142,",",--,PUNCT,punct,141,pflegte
143,nach,nach,ADP,mo,141,pflegte
144,seiner,sein,DET,nk,145,Wohnung
145,Wohnung,Wohnung,NOUN,nk,143,nach
146,zurück,zurück,ADV,svp,141,pflegte
147,",",--,PUNCT,punct,141,pflegte
148,die,der,PRON,sb,153,gelegen
149,in,in,ADP,mo,153,gelegen
150,der,der,DET,nk,151,Spandauer
151,Spandauer,Spandauer,NOUN,nk,149,in
152,Straße,Straße,NOUN,nk,151,Spandauer
153,gelegen,liegen,VERB,rc,145,Wohnung
154,.,--,PUNCT,punct,141,pflegte
155,In,in,ADP,ROOT,155,In
156,allem,alle,PRON,sb,162,war
157,",",--,PUNCT,punct,156,allem
158,was,was,PRON,oa,160,tat
159,er,er,PRON,sb,160,tat
160,tat,tun,VERB,rc,156,allem
161,",",--,PUNCT,punct,162,war
162,war,sein,AUX,ROOT,162,war
163,der,der,DET,nk,165,Kanzleisekretär
164,Geheime,Geheime,ADJ,nk,165,Kanzleisekretär
165,Kanzleisekretär,Kanzleisekretär,NOUN,pd,162,war
166,pünktlich,pünktlich,ADV,pd,162,war
167,und,und,CCONJ,cd,166,pünktlich
168,genau,genau,ADV,cj,167,und
169,.,--,PUNCT,punct,162,war
170,Er,er,PRON,ROOT,170,Er
171,hatte,haben,AUX,ROOT,171,hatte
172,sich,sich,PRON,oa,174,gewöhnt
173,daran,daran,ADV,op,174,gewöhnt
174,gewöhnt,gewöhnen,VERB,oc,171,hatte
175,",",--,PUNCT,punct,174,gewöhnt
176,gerade,gerade,ADV,mo,177,während
177,während,während,SCONJ,punct,171,hatte
178,es,es,PRON,dep,171,hatte
179,auf,auf,ADP,mnr,178,es
180,den,der,DET,nk,181,Türmen
181,Türmen,Türm,NOUN,nk,179,auf
182,der,der,DET,nk,184,und
183,Marien-,Marie,X,cj,184,und
184,und,und,CCONJ,cd,171,hatte
185,Nikolai-Kirchen,Nikolai-Kirchen,NOUN,sb,188,schlug
186,eilf,eilf,ADJ,nk,187,Uhr
187,Uhr,Uhr,NOUN,sb,188,schlug
188,schlug,schlagen,VERB,ROOT,188,schlug
189,",",--,PUNCT,punct,188,schlug
190,mit,mit,ADP,mo,195,fertig
191,dem,der,DET,nk,194,Stiefelnausziehen
192,Rock-,Rock,X,cj,193,und
193,und,und,CCONJ,cd,194,Stiefelnausziehen
194,Stiefelnausziehen,stiefelnauszieh,NOUN,nk,190,mit
195,fertig,fertig,ADV,mo,188,schlug
196,zu,zu,ADP,svp,188,schlug
197,werden,werden,AUX,ROOT,197,werden
198,",",--,PUNCT,punct,197,werden
199,so,so,ADV,mo,207,gefahren
200,daß,daß,SCONJ,cp,207,gefahren
201,er,er,PRON,sb,207,gefahren
202,",",--,PUNCT,punct,207,gefahren
203,in,in,ADP,mo,207,gefahren
204,die,der,DET,nk,206,Pantoffeln
205,geräumigen,geräumig,ADJ,nk,206,Pantoffeln
206,Pantoffeln,Pantoffel,NOUN,nk,203,in
207,gefahren,fahren,VERB,oc,197,werden
208,",",--,PUNCT,punct,207,gefahren
209,mit,mit,ADP,mo,207,gefahren
210,dem,der,DET,nk,211,letzten
211,letzten,letzter,ADJ,nk,209,mit
212,dröhnenden,dröhnend,ADJ,nk,213,Glockenschlage
213,Glockenschlage,Glockenschlag,NOUN,da,220,zog
214,sich,sich,PRON,da,220,zog
215,die,der,DET,nk,216,Nachtmütze
216,Nachtmütze,Nachtmütze,NOUN,sb,220,zog
217,über,über,ADP,mo,220,zog
218,die,der,DET,nk,219,Ohren
219,Ohren,Ohr,NOUN,nk,217,über
220,zog,ziehen,VERB,ROOT,220,zog
221,.,--,PUNCT,punct,220,zog
222,Um,um,SCONJ,cp,227,versäumen
223,das,der,DET,oa,227,versäumen
224,heute,heute,ADV,mo,227,versäumen
225,nicht,nicht,PART,ng,227,versäumen
226,zu,zu,PART,pm,227,versäumen
227,versäumen,versäumen,VERB,re,229,da
228,",",--,PUNCT,punct,227,versäumen
229,da,da,SCONJ,cp,234,zum
230,die,der,DET,nk,231,Uhren
231,Uhren,Uhr,NOUN,sb,229,da
232,sich,sich,PRON,oa,234,zum
233,schon,schon,ADV,mo,234,zum
234,zum,zu,ADP,ROOT,234,zum
235,Eilfschlagen,Eilfschlagen,NOUN,nk,234,zum
236,anschickten,anschickten,VERB,mo,238,wollte
237,",",--,PUNCT,punct,238,wollte
238,wollte,wollen,AUX,ROOT,238,wollte
239,er,er,PRON,sb,238,wollte
240,eben,eben,ADV,mo,238,wollte
241,mit,mit,ADP,mo,238,wollte
242,einem,ein,DET,nk,244,Schritt
243,raschen,rasch,ADJ,nk,244,Schritt
244,Schritt,Schritt,NOUN,nk,241,mit
245,(,--,PUNCT,punct,247,war
246,beinahe,beinahe,ADV,mo,247,war
247,war,sein,AUX,par,244,Schritt
248,es,es,PRON,sb,247,war
249,ein,ein,DET,pd,247,war
250,behender,behender,ADJ,nk,251,Sprung
251,Sprung,Sprung,NOUN,oa,253,nennen
252,zu,zu,PART,pm,253,nennen
253,nennen,nennen,VERB,ROOT,253,nennen
254,),--,PUNCT,punct,253,nennen
255,aus,aus,ADP,mo,253,nennen
256,der,der,DET,nk,257,Königsstraße
257,Königsstraße,Königsstraße,PROPN,nk,255,aus
258,in,in,ADP,mo,253,nennen
259,die,der,DET,nk,260,Spandauer
260,Spandauer,Spandauer,NOUN,nk,258,in
261,Straße,Straße,NOUN,nk,260,Spandauer
262,hineinbiegen,hineinbiegen,VERB,ROOT,262,hineinbiegen
263,",",--,PUNCT,punct,262,hineinbiegen
264,als,als,SCONJ,cm,267,Klopfen
265,ein,ein,DET,nk,267,Klopfen
266,seltsames,seltsam,ADJ,nk,267,Klopfen
267,Klopfen,Klopfen,NOUN,mo,262,hineinbiegen
268,",",--,PUNCT,punct,267,Klopfen
269,das,der,PRON,sb,275,ließ
270,sich,sich,PRON,oa,274,hören
271,dicht,dicht,ADV,mo,274,hören
272,neben,neben,ADP,mo,274,hören
273,ihm,ihm,PRON,nk,272,neben
274,hören,hören,VERB,oc,275,ließ
275,ließ,lassen,VERB,rc,267,Klopfen
276,",",--,PUNCT,punct,262,hineinbiegen
277,ihn,ihn,PRON,oa,281,festwurzelte
278,an,an,ADP,mo,281,festwurzelte
279,den,der,DET,nk,280,Boden
280,Boden,Boden,NOUN,nk,278,an
281,festwurzelte,festwurzelen,VERB,ROOT,281,festwurzelte
282,.,--,PUNCT,punct,281,festwurzelte
283,Unten,unten,ADV,mo,290,wurde
284,an,an,ADP,mnr,283,Unten
285,dem,der,DET,nk,286,Turm
286,Turm,Turm,NOUN,nk,284,an
287,des,der,DET,nk,289,Rathauses
288,alten,alt,ADJ,nk,289,Rathauses
289,Rathauses,Rathauses,NOUN,ag,286,Turm
290,wurde,werden,AUX,ROOT,290,wurde
291,er,er,PRON,sb,290,wurde
292,in,in,ADP,mo,290,wurde
293,dem,der,DET,nk,295,Schimmer
294,hellen,hell,ADJ,nk,295,Schimmer
295,Schimmer,Schimmer,NOUN,nk,292,in
296,der,der,DET,dep,290,wurde
297,Reverberen,Reverber,NOUN,ROOT,297,Reverberen
298,eine,ein,DET,nk,308,Gestalt
299,lange,lang,ADJ,nk,308,Gestalt
300,",",--,PUNCT,punct,299,lange
301,hagere,hag,ADJ,cj,299,lange
302,",",--,PUNCT,punct,299,lange
303,in,in,ADP,mo,307,gehüllte
304,einen,ein,DET,nk,306,Mantel
305,dunkeln,dunkeln,ADJ,nk,306,Mantel
306,Mantel,Mantel,NOUN,nk,303,in
307,gehüllte,gehüllt,ADJ,cj,299,lange
308,Gestalt,Gestalt,NOUN,sb,297,Reverberen
309,gewahr,gewahr,VERB,oc,297,Reverberen
310,",",--,PUNCT,punct,297,Reverberen
311,die,der,DET,nk,320,der
312,an,an,ADP,mnr,311,die
313,die,der,DET,nk,315,Ladentüre
314,verschlossene,verschlossen,ADJ,nk,315,Ladentüre
315,Ladentüre,Ladentüre,NOUN,nk,312,an
316,des,der,DET,nk,317,Kaufmanns
317,Kaufmanns,Kaufmann,NOUN,ag,315,Ladentüre
318,Warnatz,Warnatz,NOUN,nk,317,Kaufmanns
