Token,Lemma,POS
Peter,Peter,PROPN
Rosegger,Rosegger,PROPN
Als,als,ADP
Großvater,Großvater,NOUN
freien,freien,VERB
ging,gehen,VERB
Beim,bei,ADP
Kreuzwirt,Kreuzwirt,NOUN
auf,auf,ADP
der,der,DET
Höh,Höh,PROPN
',--,PUNCT
saßen,sitzen,VERB
sie,sie,PRON
um,um,ADP
den,der,DET
großen,groß,ADJ
Tisch,Tisch,NOUN
herum,herum,ADV
:,--,PUNCT
Fuhrleute,Fuhrleut,NOUN
von,von,ADP
oben,oben,ADV
und,und,CCONJ
unten,unten,ADV
",",--,PUNCT
Gewerbsleute,Gewerbsleute,NOUN
von,von,ADP
Pöllau,Pöllau,NOUN
und,und,CCONJ
Vorau,Vorau,NOUN
",",--,PUNCT
Holzarbeiter,Holzarbeiter,NOUN
vom,von,ADP
Rabenwald,Rabenwald,NOUN
und,und,CCONJ
Masenberg,Masenberg,PROPN
",",--,PUNCT
Grenzwächter,Grenzwächter,NOUN
von,von,ADP
der,der,DET
ungarischen,ungarisch,ADJ
Markung,Markung,NOUN
.,--,PUNCT
Mein,mein,DET
Großvater,Großvater,NOUN
",",--,PUNCT
der,der,DET
Waldbauer,Waldbauer,NOUN
von,von,ADP
Alpl,Alpl,PROPN
",",--,PUNCT
war,sein,AUX
auch,auch,ADV
unter,unter,ADP
ihnen,ihnen,PRON
.,--,PUNCT
Er,er,PRON
war,sein,AUX
damals,damals,ADV
eigentlich,eigentlich,ADV
noch,noch,ADV
lange,lange,ADV
nicht,nicht,PART
mein,mein,DET
Großvater,Großvater,NOUN
",",--,PUNCT
und,und,CCONJ
ihm,ihm,PRON
war,sein,AUX
sie,sie,PRON
voll,voll,ADV
und,und,CCONJ
rund,rund,ADV
",",--,PUNCT
die,der,PRON
Welt,Welt,NOUN
",",--,PUNCT
die,der,PRON
später,spät,ADV
jedesmal,jedesmal,ADV
ein,ein,DET
Loch,Loch,NOUN
bekam,bekommen,VERB
",",--,PUNCT
so,so,ADV
oft,oft,ADV
eins,einer,PRON
der,der,DET
Seinigen,Seinig,NOUN
nicht,nicht,PART
bei,bei,ADP
ihm,ihm,PRON
war,sein,AUX
.,--,PUNCT
So,so,ADV
geht's,geht's,VERB
auf,auf,ADP
der,der,DET
Welt,Welt,NOUN
",",--,PUNCT
man,man,PRON
meint,meinen,VERB
in,in,ADP
jungen,jung,ADJ
Jahren,Jahr,NOUN
",",--,PUNCT
man,man,PRON
hätte,haben,AUX
es,es,PRON
fertig,fertig,ADV
mit,mit,ADP
allem,alle,PRON
und,und,CCONJ
ahnt,ahnt,ADV
nicht,nicht,PART
",",--,PUNCT
welche,welcher,DET
Herzensgewalten,Herzensgewalt,NOUN
noch,noch,ADV
in,in,ADP
der,der,DET
Zukunft,Zukunft,NOUN
schlummern,schlummern,VERB
.,--,PUNCT
Und,und,CCONJ
daß,daß,SCONJ
ich,ich,PRON
denn,denn,ADV
erzähle,erzählen,VERB
.,--,PUNCT
Mein,mein,DET
Großvater,Großvater,NOUN
–,--,PUNCT
Natz,Natz,NOUN
–,--,PUNCT
Natz,Natz,NOUN
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
eigentlich,eigentlich,ADV
hieß,heißen,VERB
...,--,PUNCT
nein,nein,PART
",",--,PUNCT
da,da,SCONJ
ich,ich,PRON
einmal,einmal,ADV
da,da,ADV
bin,sein,AUX
",",--,PUNCT
so,so,ADV
will,wollen,AUX
ich,ich,PRON
ihn,ihn,PRON
doch,doch,ADV
lieber,lieb,ADV
Großvater,Großvater,NOUN
heißen,heißen,VERB
schon,schon,ADV
in,in,ADP
seiner,sein,DET
Jugendzeit,Jugendzeit,NOUN
–,--,PUNCT
mein,mein,DET
Großvater,Großvater,NOUN
also,also,ADV
ging,gehen,VERB
damals,damals,ADV
gerade,gerade,ADV
»,--,PUNCT
im,in,ADP
Heiraten,Heirat,NOUN
um,um,ADP
«,--,PUNCT
.,--,PUNCT
Immer,immer,ADV
war,sein,AUX
er,er,PRON
auf,auf,ADP
dem,der,DET
Viehhandel,Viehhandel,NOUN
aus,aus,ADP
",",--,PUNCT
oder,oder,CCONJ
im,in,ADP
Getreidekauf,Getreidekauf,NOUN
",",--,PUNCT
oder,oder,CCONJ
im,in,ADP
Obstmostsuchen,Obstmostsuchen,NOUN
",",--,PUNCT
oder,oder,CCONJ
im,in,ADP
Wallfahrten,wallfahrten,NOUN
",",--,PUNCT
oder,oder,CCONJ
in,in,ADP
diesem,dieser,DET
und,und,CCONJ
jenem,jener,DET
–,--,PUNCT
und,und,CCONJ
keinem,keiner,DET
Menschen,Mensch,NOUN
sagte,sagen,VERB
er,er,PRON
