Token,Lemma,POS
Friedrich,Friedrich,PROPN
Gerstäcker,Gerstäcker,PROPN
Die,der,DET
Regulatoren,Regulatoren,NOUN
in,in,ADP
Arkansas,Arkansas,PROPN
Aus,aus,ADP
dem,der,DET
Waldleben,Waldlebe,NOUN
Amerikas,Amerika,PROPN
Vorwort,Vorwort,NOUN
Wenige,weniger,DET
Worte,Wort,NOUN
werden,werden,AUX
genügen,genügen,VERB
",",--,PUNCT
diese,dieser,DET
Erzählung,Erzählung,NOUN
aus,aus,ADP
den,der,DET
westlichen,westlich,ADJ
Wäldern,Wald,NOUN
Amerikas,Amerika,PROPN
bei,bei,ADP
dem,der,DET
Leser,Leser,NOUN
einzuführen,einführen,VERB
und,und,CCONJ
ihn,ihn,PRON
darauf,darauf,ADV
vorzubereiten,vorbereiten,VERB
",",--,PUNCT
was,wer,PRON
er,er,PRON
überhaupt,überhaupt,ADV
darin,darin,ADV
zu,zu,PART
erwarten,erwarten,VERB
hat,haben,AUX
.,--,PUNCT
Arkansas,Arkansa,PROPN
",",--,PUNCT
von,von,ADP
den,der,DET
Vereinigten,vereinigt,ADJ
Staaten,Staat,NOUN
seit,seit,ADP
1836,1836,NUM
in,in,ADP
die,der,DET
Union,Union,NOUN
aufgenommen,aufnehmen,VERB
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
in,in,ADP
früheren,früh,ADJ
Jahren,Jahr,NOUN
den,der,DET
Ruf,Ruf,NOUN
erworben,erwerben,VERB
",",--,PUNCT
daß,daß,SCONJ
alles,alle,DET
Gesindel,Gesindel,NOUN
aus,aus,ADP
dem,der,DET
Osten,Osten,NOUN
und,und,CCONJ
Süden,Süden,NOUN
in,in,ADP
seinen,sein,DET
weglosen,weglos,NOUN
Wäldern,Wald,NOUN
und,und,CCONJ
Sümpfen,Sümpf,NOUN
einen,ein,DET
Zufluchtsort,Zufluchtsort,NOUN
gegen,gegen,ADP
den,der,DET
strafenden,strafend,ADJ
Arm,Arm,NOUN
der,der,DET
Gerechtigkeit,Gerechtigkeit,NOUN
gesucht,suchen,VERB
und,und,CCONJ
gefunden,finden,VERB
habe,haben,AUX
und,und,CCONJ
dort,dort,ADV
auf,auf,ADP
eigene,eigen,ADJ
",",--,PUNCT
freie,frei,ADJ
Hand,Hand,NOUN
sein,sein,DET
Wesen,Wesen,NOUN
treibe,treiben,VERB
.,--,PUNCT
Solche,solcher,DET
Gerüchte,Gerücht,NOUN
waren,sein,AUX
nicht,nicht,PART
ohne,ohne,ADP
Grund,Grund,NOUN
",",--,PUNCT
Spruch,Spruch,NOUN
und,und,CCONJ
Gesetze,Gesetz,NOUN
aber,aber,ADV
machtlos,machtlos,ADV
in,in,ADP
diesen,dieser,DET
Wäldern,Wald,NOUN
.,--,PUNCT
Ehe,ehe,SCONJ
der,der,DET
Sheriff,Sheriff,NOUN
einen,ein,DET
Verbrecher,Verbrecher,NOUN
fassen,fassen,VERB
konnte,können,AUX
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
dieser,dieser,PRON
auf,auf,ADP
dem,der,DET
Rücken,Rücken,NOUN
seines,sein,DET
eigenen,eigen,ADJ
oder,oder,CCONJ
eines,ein,DET
fremden,fremd,ADJ
Pferdes,Pferd,NOUN
in,in,ADP
ein,ein,DET
anderes,anderer,ADJ
County,County,PROPN
geflüchtet,flüchten,VERB
und,und,CCONJ
wurde,werden,AUX
nicht,nicht,PART
mehr,mehr,ADV
gesehen,sehen,VERB
.,--,PUNCT
Aber,aber,CCONJ
auch,auch,ADV
wirklich,wirklich,ADV
ergriffen,ergreifen,VERB
",",--,PUNCT
blieb,bleiben,VERB
es,es,PRON
eine,ein,DET
fast,fast,ADV
noch,noch,ADV
schwierigere,schwierig,ADJ
Aufgabe,Aufgabe,NOUN
",",--,PUNCT
den,der,DET
