Token,Lemma,POS
Leopold,Leopold,PROPN
von,von,ADP
Sacher-Masoch,Sacher-Masoch,PROPN
Der,der,DET
Capitulant,Capitulant,NOUN
.,--,PUNCT
Novelle,Novelle,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Lieb,Lieb,NOUN
ist,sein,AUX
nicht,nicht,PART
Liebe,Liebe,NOUN
",",--,PUNCT
Die,der,DET
Trennung,Trennung,NOUN
oder,oder,CCONJ
Wechsel,Wechsel,NOUN
könnte,können,AUX
mindern,mindern,VERB
",",--,PUNCT
Die,der,DET
nicht,nicht,PART
unwandelbar,unwandelbar,ADV
im,in,ADP
Wandel,Wandel,NOUN
bliebe,bleiben,VERB
.,--,PUNCT
Shakespeare,Shakespeare,PROPN
.,--,PUNCT
Sonnet,Sonnet,PROPN
140.,140.,NUM
Wer,wer,PRON
in,in,ADP
leichter,leicht,ADJ
Gondel,Gondel,NOUN
im,in,ADP
stillen,still,ADJ
Meere,Meer,NOUN
schwimmt,schwimmen,VERB
",",--,PUNCT
das,der,DET
Element,Element,NOUN
mit,mit,ADP
sich,sich,PRON
spielen,spielen,VERB
",",--,PUNCT
die,der,DET
schattenhaft,schattenhaft,NOUN
gezeichneten,gezeichnet,ADJ
Ufer,Ufer,NOUN
des,der,DET
festen,fest,ADJ
Landes,Land,NOUN
",",--,PUNCT
der,der,DET
Inseln,Insel,NOUN
hinter,hinter,ADP
sich,sich,PRON
versinken,versinken,VERB
läßt,lassen,VERB
",",--,PUNCT
die,der,DET
Luft,Luft,NOUN
über,über,ADP
sich,sich,PRON
",",--,PUNCT
ein,ein,DET
zweites,zweiter,ADJ
Meer,Meer,NOUN
mit,mit,ADP
wogenden,wogend,ADJ
Wolken,Wolke,NOUN
ahnungsvoll,ahnungsvoll,ADV
schaut,schauen,VERB
",",--,PUNCT
wird,werden,AUX
mich,mich,PRON
vielleicht,vielleicht,ADV
verstehen,verstehen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
von,von,ADP
der,der,DET
galizischen,galizisch,ADJ
Fläche,Fläche,NOUN
",",--,PUNCT
dem,der,DET
winterlichen,winterlich,ADJ
Schneeocean,Schneeocean,NOUN
",",--,PUNCT
der,der,DET
Fahrt,Fahrt,NOUN
in,in,ADP
dem,der,DET
flüchtigen,flüchtig,ADJ
Schlitten,Schlitt,NOUN
berichte,berichen,VERB
.,--,PUNCT
Es,es,PRON
zieht,ziehen,VERB
die,der,DET
Menschenseele,Menschenseele,NOUN
wehmüthig,wehmüthig,ADV
sehnsuchtsvoll,sehnsuchtsvoll,ADV
an,an,ADP
",",--,PUNCT
der,der,PRON
Ocean,Ocean,PROPN
wie,wie,ADP
die,der,DET
Ebene,Ebene,NOUN
.,--,PUNCT
Nur,nur,ADV
ist,sein,AUX
der,der,DET
Flug,Flug,NOUN
im,in,ADP
Schlitten,Schlitten,NOUN
rascher,rasch,ADV
",",--,PUNCT
adlerhafter,adlerhaft,ADV
–,--,PUNCT
während,während,SCONJ
sich,sich,PRON
der,der,DET
Kahn,Kahn,NOUN
im,in,ADP
Wasser,Wasser,NOUN
wie,wie,ADP
eine,ein,DET
Ente,Ente,NOUN
in,in,ADP
der,der,DET
Luft,Luft,NOUN
wälzt,wälzen,VERB
–,--,PUNCT
nur,nur,ADV
ist,sein,AUX
die,der,DET
Farbe,Farbe,NOUN
der,der,DET
unendlichen,unendlich,ADJ
Fläche,Fläche,NOUN
",",--,PUNCT
ist,sein,AUX
ihre,ihr,DET
Melodie,Melodie,NOUN
ernster,ernst,ADJ
",",--,PUNCT
düsterer,düster,ADV
",",--,PUNCT
drohender,drohender,ADV
",",--,PUNCT
man,man,PRON
sieht,sehen,VERB
die,der,DET
Natur,Natur,NOUN
in,in,ADP
ihrer,ihr,DET
Nacktheit,Nacktheit,NOUN
",",--,PUNCT
den,der,DET
Kampf,Kampf,NOUN
des,der,DET
Daseins,Dasein,NOUN
",",--,PUNCT
man,man,PRON
fühlt,fühlen,VERB
den,der,DET
Tod,Tod,NOUN
näher,nah,ADV
",",--,PUNCT
man,man,PRON
empfindet,empfinden,VERB
seine,sein,DET
Atmosphäre,Atmosphäre,NOUN
",",--,PUNCT
man,man,PRON
hört,hören,VERB
seine,sein,DET
Stimmen,Stimme,NOUN
.,--,PUNCT
Mich,mich,PRON
lockte,locken,VERB
der,der,DET
lichte,licht,ADJ
Winternachmittag,Winternachmittag,NOUN
hinaus,hinaus,ADP
.,--,PUNCT
Ich,ich,PRON
hatte,haben,VERB
die,der,DET
Fahrt,Fahrt,NOUN
beschlossen,beschließen,VERB
",",--,PUNCT
mein,mein,DET
Fuchs,Fuchs,NOUN
war,sein,AUX
krank,krank,ADV
",",--,PUNCT
nicht,nicht,PART
jedes,jeder,DET
Pferd,Pferd,NOUN
geht,gehen,VERB
gut,gut,ADV
im,in,ADP
Schnee,Schnee,NOUN
",",--,PUNCT
ich,ich,PRON
ließ,lassen,VERB
den,der,DET
Mausche,Mausche,NOUN
Leb,Leb,PROPN
Kattun,Kattu,NOUN
kommen,kommen,VERB
",",--,PUNCT
einen,ein,DET
großen,groß,ADJ
Kutscher,Kutscher,NOUN
vor,vor,ADP
dem,der,DET
Herrn,Herr,NOUN
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
verläßlichen,verläßlich,ADJ
Pferde,Pferd,NOUN
vor,vor,ADP
meinen,mein,DET
Schlitten,Schlitt,NOUN
spannen,spannen,VERB
.,--,PUNCT
Der,der,DET
Tag,Tag,NOUN
war,sein,AUX
prächtig,prächtig,ADV
",",--,PUNCT
die,der,DET
Luft,Luft,NOUN
stand,stehen,VERB
still,still,ADV
",",--,PUNCT
auch,auch,ADV
das,der,DET
Licht,Licht,NOUN
